TimeStamp,Detector,Bit received,Bit index(/1250),Bit index(%ile) (1250),Index of predicted bit,Bit predicted 700 first bit 0 (1250),Bit predicted 700 first bit 1 (1250),Bit index(/2500),Bit index(%ile) (2500),Bit predicted 700 first bit 0 (2500),Bit predicted 700 first bit 1 (2500)
51958,3,0,41,708,42,1,0,20,1958,1,
14891,3,0,11,1141,13,0,1,5,2391,0,
58923,2,1,47,173,48,1,0,23,1423,1,
68978,3,0,55,228,56,1,0,27,1478,1,
88667,3,0,70,1167,72,1,0,35,1167,0,
21451,2,1,17,201,18,1,0,8,1451,1,
41084,3,0,32,1084,33,0,1,16,1084,1,
2630,2,1,2,130,3,0,1,1,130,1,
61229,2,1,48,1229,50,1,0,24,1229,0,
78950,3,0,63,200,64,1,0,31,1450,1,
51390,2,1,41,140,42,1,0,20,1390,1,
23530,2,1,18,1030,19,0,1,9,1030,1,
67964,3,0,54,464,55,0,1,27,464,1,
65621,3,0,52,621,53,0,1,26,621,1,
5160,3,0,4,160,5,0,1,2,160,1,
40614,2,1,32,614,33,0,1,16,614,1,
8534,2,1,6,1034,7,0,1,3,1034,1,
26786,2,1,21,536,22,1,0,10,1786,1,
26297,3,0,21,47,21,0,1,10,1297,0,
85902,2,1,68,902,69,0,1,34,902,1,
78019,3,0,62,519,63,0,1,31,519,1,
66348,2,1,53,98,53,0,1,26,1348,0,
29200,2,1,23,450,24,1,0,11,1700,1,
91649,2,1,73,399,74,1,0,36,1649,1,
65625,3,0,52,625,53,0,1,26,625,1,
89613,2,1,71,863,72,1,0,35,2113,1,
63542,2,1,50,1042,51,0,1,25,1042,1,
56911,3,0,45,661,46,1,0,22,1911,1,
73082,3,0,58,582,59,0,1,29,582,1,
41978,2,1,33,728,34,1,0,16,1978,1,
16391,3,0,13,141,14,1,0,6,1391,1,
5179,3,0,4,179,5,0,1,2,179,1,
68633,2,1,54,1133,56,1,0,27,1133,0,
81759,3,0,65,509,66,1,0,32,1759,1,
79710,2,1,63,960,64,1,0,31,2210,1,
78393,2,1,62,893,63,0,1,31,893,1,
44564,3,0,35,814,36,1,0,17,2064,1,
53177,2,1,42,677,43,0,1,21,677,1,
14711,2,1,11,961,12,1,0,5,2211,1,
6736,3,0,5,486,6,1,0,2,1736,1,
82534,2,1,66,34,66,1,0,33,34,0,
26265,3,0,21,15,21,0,1,10,1265,0,
19398,2,1,15,648,16,1,0,7,1898,1,
62954,3,0,50,454,51,0,1,25,454,1,
48906,2,1,39,156,40,1,0,19,1406,1,
38349,3,0,30,849,31,0,1,15,849,1,
34207,2,1,27,457,28,1,0,13,1707,1,
88558,3,0,70,1058,71,0,1,35,1058,1,
47957,2,1,38,457,39,0,1,19,457,1,
72986,3,0,58,486,59,0,1,29,486,1,
32063,3,0,25,813,26,1,0,12,2063,1,
3747,2,1,2,1247,4,1,0,1,1247,0,
59254,3,0,47,504,48,1,0,23,1754,1,
96950,2,1,77,700,78,1,0,38,1950,1,
4555,2,1,3,805,4,1,0,1,2055,1,
63149,3,0,50,649,51,0,1,25,649,1,
507,3,0,0,507,1,0,1,0,507,1,
13603,2,1,10,1103,12,1,0,5,1103,0,
96928,2,1,77,678,78,1,0,38,1928,1,
61681,3,0,49,431,50,1,0,24,1681,1,
12462,3,0,9,1212,11,0,1,4,2462,0,
61430,2,1,49,180,50,1,0,24,1430,1,
17641,3,0,14,141,15,0,1,7,141,1,
48021,2,1,38,521,39,0,1,19,521,1,
21994,2,1,17,744,18,1,0,8,1994,1,
18404,2,1,14,904,15,0,1,7,904,1,
45609,2,1,36,609,37,0,1,18,609,1,
83382,2,1,66,882,67,0,1,33,882,1,
38483,3,0,30,983,31,0,1,15,983,1,
70761,2,1,56,761,57,0,1,28,761,1,
34693,3,0,27,943,28,1,0,13,2193,1,
96027,3,0,76,1027,77,0,1,38,1027,1,
32252,3,0,25,1002,26,1,0,12,2252,1,
92783,3,0,74,283,75,0,1,37,283,1,
17469,3,0,13,1219,15,0,1,6,2469,0,
1608,3,0,1,358,2,1,0,0,1608,1,
70503,3,0,56,503,57,0,1,28,503,1,
18694,2,1,14,1194,16,1,0,7,1194,0,
65464,3,0,52,464,53,0,1,26,464,1,
43560,3,0,34,1060,35,0,1,17,1060,1,
56297,2,1,45,47,45,0,1,22,1297,0,
81355,3,0,65,105,66,1,0,32,1355,1,
20999,2,1,16,999,17,0,1,8,999,1,
83969,3,0,67,219,68,1,0,33,1469,1,
76715,3,0,61,465,62,1,0,30,1715,1,
77369,2,1,61,1119,63,0,1,30,2369,0,
86018,3,0,68,1018,69,0,1,34,1018,1,
92010,2,1,73,760,74,1,0,36,2010,1,
50179,2,1,40,179,41,0,1,20,179,1,
63120,3,0,50,620,51,0,1,25,620,1,
42976,2,1,34,476,35,0,1,17,476,1,
66128,2,1,52,1128,54,1,0,26,1128,0,
19257,3,0,15,507,16,1,0,7,1757,1,
64176,3,0,51,426,52,1,0,25,1676,1,
75508,2,1,60,508,61,0,1,30,508,1,
54291,3,0,43,541,44,1,0,21,1791,1,
33952,2,1,27,202,28,1,0,13,1452,1,
82805,3,0,66,305,67,0,1,33,305,1,
50610,2,1,40,610,41,0,1,20,610,1,
2152,3,0,1,902,2,1,0,0,2152,1,
27368,3,0,21,1118,23,0,1,10,2368,0,
28261,2,1,22,761,23,0,1,11,761,1,
11425,3,0,9,175,10,1,0,4,1425,1,
4841,2,1,3,1091,4,1,0,1,2341,1,
23312,2,1,18,812,19,0,1,9,812,1,
96071,3,0,76,1071,77,0,1,38,1071,1,
48105,2,1,38,605,39,0,1,19,605,1,
8915,3,0,7,165,8,1,0,3,1415,1,
32676,2,1,26,176,27,0,1,13,176,1,
61911,3,0,49,661,50,1,0,24,1911,1,
65601,2,1,52,601,53,0,1,26,601,1,
16277,2,1,13,27,13,0,1,6,1277,0,
56517,2,1,45,267,46,1,0,22,1517,1,
85022,3,0,68,22,68,1,0,34,22,0,
82325,2,1,65,1075,66,1,0,32,2325,1,
36339,2,1,29,89,29,0,1,14,1339,0,
89075,2,1,71,325,72,1,0,35,1575,1,
65071,2,1,52,71,52,1,0,26,71,0,
84129,2,1,67,379,68,1,0,33,1629,1,
52970,2,1,42,470,43,0,1,21,470,1,
96058,3,0,76,1058,77,0,1,38,1058,1,
528,3,0,0,528,1,0,1,0,528,1,
80580,3,0,64,580,65,0,1,32,580,1,
95535,2,1,76,535,77,0,1,38,535,1,
5353,2,1,4,353,5,0,1,2,353,1,
92591,3,0,74,91,74,1,0,37,91,0,
19393,3,0,15,643,16,1,0,7,1893,1,
66672,3,0,53,422,54,1,0,26,1672,1,
16226,2,1,12,1226,14,1,0,6,1226,0,
33376,2,1,26,876,27,0,1,13,876,1,
24774,3,0,19,1024,20,1,0,9,2274,1,
47065,2,1,37,815,38,1,0,18,2065,1,
36950,2,1,29,700,30,1,0,14,1950,1,
34207,2,1,27,457,28,1,0,13,1707,1,
32917,2,1,26,417,27,0,1,13,417,1,
22230,3,0,17,980,18,1,0,8,2230,1,
22624,3,0,18,124,19,0,1,9,124,1,
85518,3,0,68,518,69,0,1,34,518,1,
1756,3,0,1,506,2,1,0,0,1756,1,
10257,3,0,8,257,9,0,1,4,257,1,
90165,2,1,72,165,73,0,1,36,165,1,
98007,2,1,78,507,79,0,1,39,507,1,
62798,2,1,50,298,51,0,1,25,298,1,
95018,3,0,76,18,76,1,0,38,18,0,
46564,3,0,37,314,38,1,0,18,1564,1,
29421,2,1,23,671,24,1,0,11,1921,1,
81168,2,1,64,1168,66,1,0,32,1168,0,
24158,3,0,19,408,20,1,0,9,1658,1,
75465,2,1,60,465,61,0,1,30,465,1,
27453,3,0,21,1203,23,0,1,10,2453,0,
94996,2,1,75,1246,77,0,1,37,2496,0,
30744,2,1,24,744,25,0,1,12,744,1,
41302,3,0,33,52,33,0,1,16,1302,0,
89611,2,1,71,861,72,1,0,35,2111,1,
6186,2,1,4,1186,6,1,0,2,1186,0,
25457,2,1,20,457,21,0,1,10,457,1,
38156,2,1,30,656,31,0,1,15,656,1,
16924,2,1,13,674,14,1,0,6,1924,1,
8303,3,0,6,803,7,0,1,3,803,1,
78699,3,0,62,1199,64,1,0,31,1199,0,
92299,2,1,73,1049,74,1,0,36,2299,1,
88961,3,0,71,211,72,1,0,35,1461,1,
27416,2,1,21,1166,23,0,1,10,2416,0,
7731,3,0,6,231,7,0,1,3,231,1,
83493,3,0,66,993,67,0,1,33,993,1,
55294,2,1,44,294,45,0,1,22,294,1,
15897,2,1,12,897,13,0,1,6,897,1,
36842,3,0,29,592,30,1,0,14,1842,1,
79964,2,1,63,1214,65,0,1,31,2464,0,
11802,3,0,9,552,10,1,0,4,1802,1,
73475,2,1,58,975,59,0,1,29,975,1,
93097,2,1,74,597,75,0,1,37,597,1,
3661,2,1,2,1161,4,1,0,1,1161,0,
88641,3,0,70,1141,72,1,0,35,1141,0,
